*   ew_pr ew_denom
a_s   reg_fut ew_denom attic r_e_i_alpha
hs   reg_fut ew_denom
a_s   aor1 ew_denom attic r_e_i_alpha
hs   aor1 ew_denom
a_k   perf_act ew_denom attic r_e_i_alpha
hk   perf_act ew_denom
a_   perfp_vow ew_denom attic r_e_i_alpha
h   perfp_vow ew_denom
a_q   aor_pass ew_denom attic r_e_i_alpha
hq   aor_pass ew_denom
a_s   fut_perf ew_denom attic r_e_i_alpha
hs   fut_perf ew_denom
a_t   os_on ew_denom attic r_e_i_alpha
ht   os_on ew_denom
a_   ma_matos ew_denom neut attic r_e_i_alpha
h   ma_matos ew_denom neut
a_t   verb_adj2 ew_denom attic r_e_i_alpha
ht   verb_adj2 ew_denom
a_s   is_ews ew_denom fem attic r_e_i_alpha
hs   is_ews ew_denom fem
a_thri   os_ou ew_denom neut attic r_e_i_alpha
hthri   os_ou ew_denom neut
a_thri   os_h_on ew_denom attic r_e_i_alpha
hthri   os_h_on ew_denom
a_teir   a_hs ew_denom fem attic r_e_i_alpha
hteir   a_hs ew_denom fem
a_tik   os_h_on ew_denom attic suff_acc r_e_i_alpha
htik   os_h_on ew_denom suff_acc
a_sin   h_hs ew_denom fem attic r_e_i_alpha nu_movable
a_si   h_hs ew_denom fem attic r_e_i_alpha
a_sin   h_hs ew_denom fem attic r_e_i_alpha nu_movable
hsin   h_hs ew_denom fem nu_movable
hsi   h_hs ew_denom fem
