i   aw_pr iaw_denom
ia_s   reg_fut iaw_denom attic
ia_s   reg_fut iaw_denom doric
ihs   reg_fut iaw_denom epic ionic
ia_s   aor1 iaw_denom attic
ia_s   aor1 iaw_denom doric
ihs   aor1 iaw_denom epic ionic
ia_k   perf_act iaw_denom attic
ia_k   perf_act iaw_denom doric
ihk   perf_act iaw_denom epic ionic
ia_   perfp_vow iaw_denom attic
ia_   perfp_vow iaw_denom doric
ih   perfp_vow iaw_denom epic ionic
ia_q   aor_pass iaw_denom attic
ia_q   aor_pass iaw_denom doric
ihq   aor_pass iaw_denom epic ionic
ia_s   fut_perf iaw_denom attic
ia_s   fut_perf iaw_denom doric
ihs   fut_perf iaw_denom epic ionic
